Count of Duration;Column Labels;;;;;;;;;;;;;;;;;;;
Row Labels;Africa Magic;Boomerang;Break in transmission;Cartoon Network;Channel O;CNN;DStv Events 1;E! Entertainment;ICC Cricket World Cup 2011;kykNET;Live on SuperSport;MK;M-Net;SawSee;SuperSport Blitz;Supersport Live Events;Trace TV;Vuzu;Wimbledon;Grand Total
Sun;147;103;7;134;130;78;14;62;164;8;;6;24;39;110;200;154;18;;1398
Mon;90;86;7;93;138;74;15;46;68;7;2;3;13;23;78;101;121;9;;974
Tue;126;95;25;113;133;65;14;38;206;5;;3;13;41;145;144;142;13;;1321
Wed;110;102;5;83;170;66;19;43;492;11;;9;14;37;154;97;114;13;;1539
Thu;126;108;4;116;160;78;10;54;74;4;;5;21;35;140;367;150;19;;1471
Fri;133;107;;116;176;82;15;58;205;6;;3;20;39;121;409;134;18;;1642
Sat;127;113;18;138;143;62;20;66;256;4;;3;11;41;148;344;137;21;3;1655
Grand Total;859;714;66;793;1050;505;107;367;1465;45;2;32;116;255;896;1662;952;111;3;10000
;;;;;;;;;;;;;;;;;;;;
;;;;;Count of Duration;Column Labels;;;;;Count of Duration;Column Labels;;;;;;;;
;;;;;Row Labels;Afternoon;Evening;Morning;Grand Total;;Row Labels;Channel O;ICC Cricket World Cup 2011;SuperSport Blitz;Supersport Live Events;Trace TV;Grand Total;;;
;;;;;Jan;665;747;791;2203;;Jan;272;;205;363;284;1124;;;
;;;;;Feb;895;963;1118;2976;;Feb;367;317;286;535;267;1772;;;
;;;;;Mar;1600;1289;1932;4821;;Mar;411;1148;405;764;401;3129;;;
;;;;;Grand Total;3160;2999;3841;10000;;Grand Total;1050;1465;896;1662;952;6025;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Count of Duration;Column Labels;;;;;;;;;;;;;;;;
;;;Row Labels;Eastern Cape;Free State;Gauteng;Kwazulu Natal;Limpopo;Mpumalanga;No province;North West;Northern Cape;Western Cape;Grand Total;;;;;;
;;;female;94;38;362;109;52;83;;28;48;163;977;;;;;;
;;;male;596;254;3292;892;711;835;1;316;182;1682;8761;;;;;;
;;;No gender;;;;;;;262;;;;262;;;;;;
;;;Grand Total;690;292;3654;1001;763;918;263;344;230;1845;10000;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Count of Age_group;Column Labels;;;;;;;;;;;;;;;;;;
;Row Labels;Eastern Cape;Free State;Gauteng;Kwazulu Natal;Limpopo;Mpumalanga;No province;North West;Northern Cape;Western Cape;Grand Total;;;;;;;;
;;5;;2;2;;;;;;1;10;;;;;;;;
;black;321;149;1811;460;346;599;;262;118;265;4331;;;;;;;;
;coloured;152;29;193;55;25;27;;2;76;1074;1633;;;;;;;;
;indian_asian;65;28;681;312;317;90;;16;4;62;1575;;;;;;;;
;No race;40;27;303;73;30;83;263;13;14;211;1057;;;;;;;;
;other;11;2;22;8;7;;;;;52;102;;;;;;;;
;white;96;57;642;91;38;119;;51;18;180;1292;;;;;;;;
;Grand Total;690;292;3654;1001;763;918;263;344;230;1845;10000;;;;;;;;
